wd_variant,mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
INNER,W,H4,AUDJPY,short,2024-01-01,2024-01-08,97.14,97.8,0.6599999999999966,2024-01-11 02:00:00,2024-01-11 06:00:00,97.768,97.8,2024-01-21 22:00:00,97.647,96.48,98.43022147651007,2024-01-31 14:00:00,96.48,win,1.49
INNER,W,H4,AUDNZD,short,2024-01-22,2024-01-29,1.0796,1.08332,0.0037200000000001676,2024-01-22 22:00:00,2024-01-23 02:00:00,1.08328,1.08332,2024-03-20 17:00:00,1.08318,1.0758799999999997,1.08818,2024-03-24 21:00:00,1.08818,loss,-1.0
INNER,W,H4,AUDNZD,short,2024-04-22,2024-04-29,1.10002,1.10276,0.0027399999999999647,2024-05-02 01:00:00,2024-05-02 05:00:00,1.10274,1.10276,2024-05-06 01:00:00,1.10247,1.09728,1.10747,2024-05-08 01:00:00,1.09728,win,1.0380000000000056
INNER,W,H4,AUDUSD,short,2024-04-29,2024-05-06,0.66097,0.66494,0.003970000000000029,2024-05-03 09:00:00,2024-05-03 13:00:00,0.66472,0.66494,2024-05-15 01:00:00,0.6642,0.6569999999999999,0.6692,2024-05-15 17:00:00,0.6692,loss,-1.0
INNER,W,H4,CADCHF,short,2024-04-08,2024-04-15,0.66396,0.6685,0.0045399999999999885,2024-04-11 05:00:00,2024-04-11 09:00:00,0.66792,0.66836,2024-04-24 17:00:00,0.66784,0.65942,0.6734910067114094,2024-06-03 13:00:00,0.65942,win,1.49
INNER,W,H4,CHFJPY,short,2024-01-01,2024-01-08,170.09,171.494,1.4039999999999964,2024-01-11 10:00:00,2024-01-11 14:00:00,171.231,171.494,2024-01-18 06:00:00,171.066,168.686,172.66331543624162,2024-03-06 22:00:00,168.686,win,1.49
INNER,W,H4,CHFJPY,short,2024-03-18,2024-03-25,168.754,170.804,2.0500000000000114,2024-03-21 17:00:00,2024-03-21 21:00:00,168.952,168.995,2024-04-15 13:00:00,168.94,166.70399999999998,171.00900000000001,2024-04-26 01:00:00,171.00900000000001,loss,-1.0
INNER,W,H4,CHFJPY,short,2024-05-06,2024-05-13,171.846,172.718,0.8719999999999857,2024-05-15 01:00:00,2024-05-15 05:00:00,172.664,172.694,2024-05-29 17:00:00,172.642,170.97400000000002,173.7614630872483,2024-05-30 21:00:00,173.7614630872483,loss,-1.0
INNER,W,H4,EURCAD,short,2024-04-29,2024-05-06,1.47292,1.47873,0.005810000000000093,2024-05-08 09:00:00,2024-05-08 13:00:00,1.47821,1.47873,2024-05-14 17:00:00,1.47696,1.46711,1.4835707382550336,2024-05-23 09:00:00,1.4835707382550336,loss,-1.0
INNER,W,H4,EURCHF,short,2024-04-22,2024-04-29,0.97796,0.98372,0.005759999999999987,2024-05-02 01:00:00,2024-05-02 05:00:00,0.98244,0.98262,2024-05-15 13:00:00,0.9817,0.9722000000000001,0.9880758389261745,2024-05-17 17:00:00,0.9880758389261745,loss,-1.0
INNER,W,H4,GBPAUD,long,2024-03-18,2024-03-25,1.92538,1.93429,0.008909999999999973,2024-03-21 17:00:00,2024-03-21 21:00:00,1.92538,1.92561,2024-04-03 13:00:00,1.92648,1.9432,1.9152585234899329,2024-04-04 09:00:00,1.9152585234899329,loss,-1.0
INNER,W,H4,GBPCAD,short,2024-01-08,2024-01-15,1.70982,1.71667,0.006850000000000023,2024-01-17 14:00:00,2024-01-17 18:00:00,1.71502,1.71556,2024-01-23 02:00:00,1.7144,1.7029699999999999,1.7220711409395972,2024-01-30 06:00:00,1.7029699999999999,win,1.49
INNER,W,H4,GBPCHF,short,2024-04-22,2024-04-29,1.14264,1.15124,0.008599999999999941,2024-05-01 05:00:00,2024-05-01 09:00:00,1.15118,1.15124,2024-05-17 09:00:00,1.15044,1.1340400000000002,1.1614467114093958,2024-05-22 05:00:00,1.1614467114093958,loss,-1.0
INNER,W,H4,GBPJPY,short,2024-04-01,2024-04-08,191.631,192.978,1.3470000000000084,2024-04-10 05:00:00,2024-04-10 09:00:00,192.771,192.978,2024-04-16 09:00:00,192.698,190.284,194.31813422818794,2024-04-25 05:00:00,194.31813422818794,loss,-1.0
INNER,W,H4,GBPNZD,long,2024-04-08,2024-04-15,2.08573,2.097,0.011270000000000113,2024-04-11 21:00:00,2024-04-12 01:00:00,2.0892,2.09054,2024-04-22 01:00:00,2.09532,2.10827,2.084603,2024-04-22 09:00:00,2.084603,loss,-1.0
INNER,W,H4,GBPNZD,short,2024-02-12,2024-02-19,2.0574,2.08183,0.024430000000000174,2024-02-13 22:00:00,2024-02-14 02:00:00,2.0786,2.08118,2024-02-28 14:00:00,2.07849,2.0329699999999997,2.10904033557047,2024-03-20 21:00:00,2.10904033557047,loss,-1.0
INNER,W,H4,GBPUSD,short,2024-02-19,2024-02-26,1.26724,1.27096,0.0037200000000001676,2024-02-23 10:00:00,2024-02-23 14:00:00,1.27004,1.27014,2024-03-04 14:00:00,1.26966,1.2635199999999998,1.27466,2024-03-06 14:00:00,1.27466,loss,-1.0
INNER,W,H4,NZDCHF,long,2024-01-01,2024-01-08,0.52812,0.53107,0.002950000000000008,2024-01-08 10:00:00,2024-01-08 14:00:00,0.52812,0.5283,2024-01-15 06:00:00,0.52834,0.53402,0.52334,2024-02-07 18:00:00,0.53402,win,1.1360000000000037
INNER,W,H4,NZDJPY,short,2024-03-18,2024-03-25,90.751,92.204,1.4529999999999887,2024-03-21 05:00:00,2024-03-21 09:00:00,92.024,92.204,2024-04-09 21:00:00,91.972,89.29800000000002,93.7666308724832,2024-04-26 17:00:00,93.7666308724832,loss,-1.0
INNER,W,H4,NZDUSD,long,2024-02-12,2024-02-19,0.60498,0.61248,0.007500000000000062,2024-02-14 10:00:00,2024-02-14 14:00:00,0.60728,0.6073,2024-03-05 06:00:00,0.6075,0.6199800000000001,0.5991241610738255,2024-03-08 10:00:00,0.6199800000000001,win,1.49
